Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Rx DCS,DCS Polarity,Tx Power,Scan Add,Comment,Busy Lock,PTT ID,Signal Code,
0,146.52000,146.52000,,Simplex,FM,2M CALL,None,67.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
1,446.00000,446.00000,,Simplex,FM,70CMCAL,None,67.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
2,146.55000,146.55000,,Simplex,FM,2M SIMP,None,67.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
3,446.02500,446.02500,,Simplex,FM,UHF SIM,DCS,67.0 Hz,67.0 Hz,703,703,Both N,Medium,Scan,,Off,Off,1,
4,146.88000,146.28000,600 kHz,Minus,FM,W4CVY2,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
5,146.61000,146.01000,600 kHz,Minus,FM,W4CVY,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
6,146.74500,146.14500,600 kHz,Minus,FM,WX4RUS,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
7,442.10000,447.10000,5.00 MHz,Plus,FM,W9TVM,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
8,442.20000,447.20000,5.00 MHz,Plus,FM,W4CVY,DCS,67.0 Hz,67.0 Hz,703,703,Both N,Medium,Scan,,Off,Off,1,
9,443.57500,448.57500,5.00 MHz,Plus,FM,WX4RUS,T Sql,123.0 Hz,123.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
10,444.20000,449.20000,5.00 MHz,Plus,FM,WA4QHN,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
11,441.80000,442.40000,600 kHz,Plus,FM,W8JVF,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
14,145.19000,144.59000,600 kHz,Minus,FM,WB4ULJ,Tone,110.9 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
15,441.97500,446.97500,5.00 MHz,Plus,FM,WB4ULK,Tone,67.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
16,444.40000,449.40000,5.00 MHz,Plus,FM,WB4ULJ,None,67.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
18,145.23000,144.63000,600 kHz,Minus,FM,KE4COL,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
19,145.35000,144.75000,600 kHz,Minus,FM,KF4AEJ,Tone,118.8 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
20,146.24000,146.84000,600 kHz,Plus,FM,K4RY,Tone,156.7 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
21,146.72000,146.12000,600 kHz,Minus,FM,WA4QHN,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
22,146.94000,147.54000,600 kHz,Plus,FM,WA4QHN+,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
23,146.94000,146.34000,600 kHz,Minus,FM,WA4QHN-,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
24,147.06000,147.66000,600 kHz,Plus,FM,KA4Y,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
25,147.12000,147.72000,600 kHz,Plus,FM,W4LEE,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
26,147.15000,147.75000,600 kHz,Plus,FM,WX4LEE,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
27,147.30000,147.90000,600 kHz,Plus,FM,W4HOD,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
28,444.10000,449.10000,5.00 MHz,Plus,FM,WA4QHN,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
29,444.12500,449.12500,5.00 MHz,Plus,FM,W4LEE,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
30,444.42500,449.42500,5.00 MHz,Plus,FM,WX4LEE,Tone,123.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
31,444.80000,449.80000,5.00 MHz,Plus,FM,K4RY,Tone,156.7 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
127,144.39000,144.39000,,Simplex,FM,APRS,Tone,100.0 Hz,67.0 Hz,23,23,Both N,Medium,Scan,,Off,Off,1,
